qid,Label,VarName
qid_cohortayear2q16,Have you ever visited any of these places with your family?,"FamAct[00], Hob[00]"
qid_cohortayear2q1,Circle your age below.,age
qid_cohortayear3q24,How did you get to school this morning?,RoutnTrav[00]
qid_cohortayear3q34b,How often do you play video games?,HobFrq01
qid_cohortayear3q36,have you ever visited any of these places with your family?,FamAct[00]
qid_cohortayear3q20,"If you do see your grandparents, what kinds of things do they do with you?",FamActFrq[00]
qid_cohortayear3q1,Circle your age below.,age
qid_cohortbyear6q31,List up to three things you are most looking forward to about secondary school.,SchTranAtt[00]
qid_cohortbyear6q32,List up to three things you are not looking forward to about secondary school:,SchTranAtt[00]
qid_cohortbyear6q40,Name up to three famous people you most dislike:,FameAtt[00]
qid_cohortbyear6q9c,How often do you spend time with your bother(s)?,FamActFrq06
qid_cohortbyear6q9d,How much time do you spend with your sister(s)?,FamActFrq06
qid_cohortbyear6q7,"If you speak Welsh, who do you speak Welsh with? You can tick more than one.",CymAtt[00]
qid_cohortbyear6q10,Do you take part in any of these activities outside normal school lessons? Please circle all the activities you do.,Hob[00]
qid_cohortbyear6q25,What do you do if you are worried about something? You can tick as many as you like.,WellHelp[00]
qid_cohortbyear6q46,What is the name of your school?,schnamestr
qid_cohortbyear6q41,Your name (first and last name):,"firstname, surname"
qid_cohortbyear6q12a,"If yes, which do you take part in? You can tick as many as you like.",SchActEist[00]
qid_cohortbyear6q45,What is the postcode where you live?,postcode
qid_cohortbyear6q43,Are you a boy or a girl?,sex
qid_cohortbyear7q9e,Please choose the best response from the options below: I have seen some of my primary school friends since I went to secondary school.,SchTranFrnd03
qid_cohortbyear7q1,Please enter your First and Last name in the spaces provided below,"firstname, surname"
qid_cohortbyear7q13b,Please choose the best response from the options below: The school staff have high expectations of me.,SchStafAtt08
qid_cohortbyear7q17,"Please tick the boxes next to the subjects that you receive private tuition in. If you don’t receive private tuition in any of these subjects, please skip this question.",PrvtuSubj[00]
qid_cohortbyear7q13d,Please choose the best response from the options below: My views are listened to and taken seriously by school staff.,SchStafAtt05
qid_cohortbyear7q2,Please enter your date of birth in the spaces provided below,"dobday, dobmonth, dobyear"
qid_cohortbyear7q13f,Please choose the best response from the options below: My teachers know me well.,SchStafAtt02
qid_cohortbyear7q13a,Please choose the best response from the options below: My school cares about how much I improve in my studies.,SchStafAtt11
qid_cohortbyear7q13c,Please choose the best response from the options below: The teaching staff set goals I can easily achieve.,SchStafAtt10
qid_cohortbyear7q13e,lease choose the best response from the options below: My school rewards pupils who receive good marks or make good progress.,SchStafAtt16
qid_cohortbyear7q19d,Do you bully others outside of school?,Bully03
qid_cohortbyear7q20e,What social networking app do you use the most?,Bully09
qid_cohortbyear7q19b,Do you bully other pupils at school?,BullySch03
qid_cohortbyear7q19c,Are you bullied outside of school?,Bully01
qid_cohortbyear7q20a,What social networking website do you use the most?,Bully05
qid_cohortbyear7q20b,How many days in a typical week do you use the website?,Bully06
qid_cohortbyear7q19a,Are you bullied at school?,BullySch01
qid_cohortbyear7q20d,How many days in a typical week do you bully others using the website?,Bully08
qid_cohortbyear7q20h,How many days in a typical week do you bully others using the app?,Bully12
qid_cohortbyear7q20c,How many days in a typical week are you bullied using the website?,Bully07
qid_cohortbyear7q20f,How many days in a typical week do you use the app?,Bully10
qid_cohortbyear7q20g,How many days in a typical week are you bullied using the app?,Bully11
qid_cohortbyear8q31,Please choose the two most common sources for your information about current events/news.,EngSoc[00]
qid_cohortbyear8q14j,How much do you like the following subject at school? P.E.,SchSubjAtt12
qid_cohortbyear8q15,"Please fill in the circles next to the subjects that you receive private tuition in. If you don’t receive private tuition, please skip this question.",PrvtuSubj[00]
qid_cohortbyear8q1,Please enter your First and Last name in the spaces provided below.,"firstname, surname"
qid_cohortbyear8q2,Please enter your date of birth in the spaces provided below.,"dobday, dobmonth, dobyear"
qid_cohortbyear8q33f,"When you are an adult, do you think you will be financially ""well-off""?",AspLikely01
qid_cohortbyear8q8,How do you travel to school each day?,RoutnTrav[00]
qid_cohortbyear8q23d,How often do you bully others outside of school?,Bully03
qid_cohortbyear8q23c,How often are you bullied outside of school?,Bully01
qid_cohortbyear8q23b,How often do you bully other pupils at school?,BullySch03
qid_cohortbyear8q23a,How often are you bullied at school?,BullySch01
qid_cohortbyear9q23,Here is a list of items some young people of your age have. Please tell us whether you have each item on the list. Fill in as many items as needed.,Deprive[00]
qid_cohortbyear9q28a,"On a scale of 1-5, with 1 being ""not at all"" and 5 being ""a lot"", how much do you look up to the following people?",ProfAtt[00]
qid_cohortbyear9q28d,"On a scale of 1-5, with 1 being ""not at all"" and 5 being ""a lot"", how much do you look up to the following people?",ProfAtt[00]
qid_cohortbyear9q28e,"On a scale of 1-5, with 1 being ""not at all"" and 5 being ""a lot"", how much do you look up to the following people?",ProfAtt[00]
qid_cohortbyear9q28f,"On a scale of 1-5, with 1 being ""not at all"" and 5 being ""a lot"", how much do you look up to the following people?",ProfAtt[00]
qid_cohortbyear9q8,What languages do your parents speak?,NatLang[00]
qid_cohortbyear9q7,What languages do you speak?,NatLang[00]
qid_cohortbyear9q40b,"If you know anyone who has any of the following religious beliefs, please fill in the appropriate circle below. Fill in as many circles as needed.",Relig[00]
qid_cohortbyear9q32b,Answer if you don't know the name of the last charity your school supported.,PhilAct02
qid_cohortbyear9q20c,"How confident are you when it comes to performing in front of people (e.g. singing, acting, etc.)?",WellConf04
qid_cohortbyear9q38a,Do you eat meat?,Diet01
qid_cohortbyear9q38b,Do you eat fish?,Diet02
qid_cohortbyear9q37b,"If you do have pets, what kind?",AnimPet02
qid_cohortbyear9q1,What is your name?,"firstname, surname"
qid_cohortbyear9q38d,Do either of your parents eat fish?,EthicsFam01
qid_cohortbyear9q33b,"If yes, please list the clubs you are involved with.",SchAct08
qid_cohortbyear9q38c,Do either of your parents eat meat?,EthicsFam02
qid_cohortbyear9q31b,"Have you given money to charity in the past year, month or week?",PhilAct08
qid_cohortbyear9q31a,"Have you raised money for charity over the past year, month or week?",PhilAct06
qid_cohortbyear9q31c,"Have ou given items to charity in the past year, month or week?",PhilAct05
qid_cohortcyear8q9j,"Please choose the best response from the options below: overall, I like the staff at my school.",SchStafAtt06
qid_cohortcyear8q13d,Please choose the best response from the options below: I made a lot of new friends when I came to secondary school.,SchTranFrnd04
qid_cohortcyear8q9k,"Please choose the best response from the options below: overall, I feel I make a good effort in class.",SchAtt16
qid_cohortcyear8q9l,Please choose the best response from the options below: I feel safe at school,SchAtt19
qid_cohortcyear8q17e,How often do you use the internet for homework?,SchAct03
qid_cohortcyear8q9f,Please choose the best response from the options below: the staff at my school make school fun.,SchStafAtt09
qid_cohortcyear8q9c,Please choose the best response from the options below: my teachers/mentors/classrooms tutors set goals I can easily achieve.,SchStafAtt10
qid_cohortcyear8q11b,Please list up to three words to describe what you dislike about school:,SchAtt[00]
qid_cohortcyear8q22h,"How often do you spend time doing activities outside of the home with the following family members: Grandparents, aunts/uncles or cousins.",FamActFrq03
qid_cohortcyear8q11a,Please list up to three words to describe what you like about school:,SchAtt[00]
qid_cohortcyear8q34b,Please list up to three famous people that you most dislike.,FameAtt[00]
qid_cohortcyear8q34a,Please list up to three famous people that you most admire.,FameAtt[00]
qid_cohortcyear8q8,Please list up to three words that best describe your school:,SchAtt[00]
qid_cohortcyear8q2,How many of your friends go to a different school than you?,FrndDivers05
qid_cohortcyear8q5,Please list up to three words that best describe your neighbourhood:,NeighbAtt[00]
qid_cohortcyear8q40,What is your gender?,sex
qid_cohortcyear8q29d,How do you feel about the following part of your life? Your friends.,WellSat03
qid_cohortcyear8q20,"Approximately how many messages do you send and receive (either on a computer, tablet or your phone) per day?",FrndCom01
qid_cohortcyear8q29c,How do you feel about the following part of your life? Your family.,WellSat02
qid_cohortcyear8q10h,How much do you like the following subjects at school? P.E.,SchSubjAtt12
qid_cohortcyear8q19c,Do you receive private tuition for the following school subject? Maths.,PrvtuSubj02
qid_cohortcyear8q19d,Do you receive private tuition for the following school subject? Welsh.,PrvtuSubj04
qid_cohortcyear8q33h,"When you are an adult, do you think you will speak Welsh?",AspLikely08
qid_cohortcyear8q37,Please enter your First and Last name in the spaces provided below.,"firstname, surname"
qid_cohortcyear8q1,How many friends go to the same school as you?,FrndDivers02
qid_cohortcyear8q25,Do you get up for school at the same time every school day?,RoutnSleep02
qid_cohortcyear8q10l,How much do you like the following subjects at school? Design and Technology.,SchSubjAtt06
qid_cohortcyear8q41,To which of the following groups do you think you belong?,NatEth01
qid_cohortcyear8q12,"Which of the following choices best describe your feelings about leaving primary school and coming to secondary school? (tick as few, or as many, as you need)",SchTranAtt[00]
qid_cohortcyear8q42,"What is your national identity (e.g. Welsh, English, British, etc)?",NatIden01
qid_cohortcyear8q26,About what time did you wake up to get ready for school this morning?,RoutnSleep01
qid_cohortcyear8q33a,"When you are an adult, do you think you will live in Wales?",AspLikely07
qid_cohortcyear8q33c,"When you are an adult, do you think you will live abroad?",AspLikely05
qid_cohortcyear8q23,Do you go to bed at the same time each school night?,RoutnSleep04
qid_cohortcyear8q38,What is your date of birth? (dd/mm/yyyy),"dobday, dobmonth, dobyear"
qid_cohortcyear8q15,Will you be doing the Welsh Baccalaureate?,SchStdySubj61
qid_cohortcyear8q24,About what time did you go to bed last night?,RoutnSleep03
qid_cohortcyear8q32,"By the time you are 30 years old, which one of the following would you most like to have achieved?",AspAchv01
qid_cohortcyear8q3,"Are your friends mostly boys, mostly girls or a mixture of girls and boys?",FrndDivers01
qid_cohortcyear8q31,"Please put the following items IN ORDER from 1 to 7 according to how ""wrong"" you think they are to do. ""1"" means the least wrong and ""7"" means the most wrong. (Please note, each statement must have a different number from the other statements)",Behave[00]
qid_cohortcyear9q1,Please enter your First and Last name in the spaces provided below.,"firstname, surname"
qid_cohortcyear9q2,Please enter your date of birth in the spaces provided below.,"dobday, dobmonth, dobyear"
qid_cohortcyear9q4b,"If your teachers had to describe you in just one word, what word do you think they would use?",WellValue17
qid_cohortcyear9q4c,"If your best friends had to describe you in just one word, what word do you think they would use?",WellValue15
qid_cohortcyear9q4d,"If a stranger you've just met had to describe you in just one word, what word do you think they would use?",WellValue18
