qid,literal_question_text,themes
qid_cohortbyear6q1a,Please indicate how happy you feel about your school work where 1 means completely happy and 5 means not at all happy.,School and learning
qid_cohortbyear6q1b,"Please indicate how happy you feel about the school you go to, where 1 means completely happy and 5 means not at all happy.",School and learning
qid_cohortbyear6q2a,How much do you like English?,School and learning
qid_cohortbyear6q2b,How much do you like Maths?,School and learning
qid_cohortbyear6q2c,How much do you like Welsh?,School and learning
qid_cohortbyear6q2d,How much do you like Science?,School and learning
qid_cohortbyear6q2e,How much do you like PE?,School and learning
qid_cohortbyear6q2f,How much do you like learning new things?,School and learning
qid_cohortbyear6q2g,How much do you like answering questions in class?,School and learning
qid_cohortbyear6q3a,How often is school interesting?,School and learning
qid_cohortbyear6q3b,How often do you get tired at school?,"School and learning, Wellbeing "
qid_cohortbyear6q3c,How often do you get fed up at school?,"School and learning, Wellbeing "
qid_cohortbyear6q3d,How often do you talk to your friends when you should be doing work?,School and learning
qid_cohortbyear6q3e,How often do other children bully you?,"School and learning, Wellbeing "
qid_cohortbyear6q3f,How often do you feel left out of things by other children at school?,"School and learning, Wellbeing "
qid_cohortbyear6q4a,How much do you like listening to music?,Out of school activities and routines
qid_cohortbyear6q4b,How much do you like playing music on an instrument?,Out of school activities and routines
qid_cohortbyear6q4c,"How much do you like watching TV, videos or DVDs?",Out of school activities and routines
qid_cohortbyear6q4d,"How much do you like drawing, painting, or making things?",Out of school activities and routines
qid_cohortbyear6q4e,How much do you like using a computer or playing games like XBOX or Playstation?,Out of school activities and routines
qid_cohortbyear6q4f,How much do you like playing sports and games outside?,Out of school activities and routines
qid_cohortbyear6q4g,How much do you like playing sports and games inside?,Out of school activities and routines
qid_cohortbyear6q5,Do you have your own phone?,Out of school activities and routines
qid_cohortbyear6q6,How well do you speak Welsh?,"Out of school activities and routines, Background variables "
qid_cohortbyear6q7,"If you speak Welsh, who do you speak Welsh with? You can tick more than one.","Out of school activities and routines, Background variables "
qid_cohortbyear6q8a,How often do you read for enjoyment?,Out of school activities and routines
qid_cohortbyear6q8b,How often do you play games on a computer or games console?,Out of school activities and routines
qid_cohortbyear6q8c,How often do you use the internet?,Out of school activities and routines
qid_cohortbyear6q8d,How often do you use the internet for homework?,Out of school activities and routines
qid_cohortbyear6q8e,How often do you exchange messages with friends on the internet using instant messaging?,"Out of school activities and routines, Family, friends and relationships"
qid_cohortbyear6q8f,How often do you visit a social networking website?,
qid_cohortbyear6q9a,How often do you spend time with your mother?,"Out of school activities and routines, Family, friends and relationships"
qid_cohortbyear6q9b,How often do you spend time with your father?,"Out of school activities and routines, Family, friends and relationships"
qid_cohortbyear6q9c,How often do you spend time with your bother(s)?,"Out of school activities and routines, Family, friends and relationships
 "
qid_cohortbyear6q9d,How much time do you spend with your sister(s)?,"Out of school activities and routines, Family, friends and relationships
 "
qid_cohortbyear6q9e,How often do you spend time with your grandparents?,"Out of school activities and routines, Family, friends and relationships
 "
qid_cohortbyear6q9f,How often do you spend time with your Aunts/Uncles?,"Out of school activities and routines, Family, friends and relationships
 "
qid_cohortbyear6q9g,How often do you spend time with your cousins?,"Out of school activities and routines, Family, friends and relationships
 "
qid_cohortbyear6q10,Do you take part in any of these activities outside normal school lessons? Please circle all the activities you do.,Out of school activities and routines
